31,224.39,486.18,752.8,778.4,1278.9,1618.4,1962,2486,2680,3380,3579,4296,5235,7610,9190,15996,20360,248.98,538.91,835.3,863.7,1419.0,1795.0,2175,2751,2963,3730,3948,4730,5752,8331,10047,17506,22288
32,224.39,486.18,752.8,778.4,1278.9,1618.4,1962,2486,2680,3380,3579,4296,5235,7610,9190,15996,20360,248.98,538.91,835.3,863.7,1419.0,1795.0,2175,2751,2963,3730,3948,4730,5752,8331,10047,17506,22288
33,225.21,486.18,752.8,778.4,1278.9,1618.4,1962,2486,2680,3380,3579,4296,5235,7610,9190,15996,20360,250.63,538.91,835.3,863.7,1419.0,1795.0,2175,2751,2963,3730,3948,4730,5752,8331,10047,17506,22288
34,226.74,486.80,752.8,778.4,1278.9,1618.4,1962,2486,2680,3380,3579,4296,5235,7610,9190,15996,20360,252.59,541.77,836.1,864.5,1419.0,1795.0,2175,2751,2963,3730,3948,4730,5752,8331,10047,17506,22288
35,228.29,490.10,755.6,781.3,1278.9,1618.4,1962,2486,2680,3380,3579,4296,5235,7610,9190,15996,20360,254.68,546.01,842.7,871.3,1425.6,1799.7,2177,2751,2963,3730,3948,4730,5752,8331,10047,17506,22288
36,229.87,493.46,760.8,786.6,1287.4,1626.1,1968,2489,2681,3380,3579,4296,5235,7610,9190,15996,20360,256.61,550.33,849.3,878.1,1436.8,1813.8,2194,2769,2981,3744,3960,4736,5752,8331,10047,17506,22288
37,231.48,496.87,766.1,792.1,1296.3,1637.3,1982,2506,2699,3397,3595,4307,5237,7610,9190,15996,20360,258.68,554.73,856.0,885.1,1448.2,1828.2,2211,2791,3004,3773,3992,4773,5791,8349,10047,17506,22288
38,233.10,500.33,771.4,797.6,1305.3,1648.7,1995,2523,2718,3420,3619,4337,5273,7631,9192,15997,20360,260.77,559.20,862.9,892.2,1459.8,1842.8,2229,2813,3028,3803,4023,4811,5837,8414,10121,17535,22288
39,234.75,503.83,776.7,803.1,1314.5,1660.3,2009,2541,2737,3444,3645,4367,5310,7684,9256,16022,20360,262.90,563.74,869.9,899.4,1471.6,1857.6,2247,2836,3052,3834,4055,4849,5884,8481,10201,17589,22326
40,236.42,507.39,782.2,808.8,1323.7,1672.1,2024,2559,2757,3468,3670,4398,5347,7738,9321,16059,20378,265.07,568.35,877.0,906.8,1483.5,1872.7,2265,2859,3077,3865,4088,4888,5931,8549,10282,17728,22502
41,238.14,511.04,787.9,814.6,1333.3,1684.1,2038,2577,2776,3493,3697,4430,5386,7793,9388,16173,20523,267.30,573.09,884.3,914.3,1495.8,1888.2,2284,2882,3102,3897,4122,4929,5980,8619,10366,17871,22682
42,239.88,514.74,793.6,820.5,1342.9,1696.3,2053,2596,2797,3519,3723,4462,5424,7849,9456,16289,20669,269.56,577.91,891.6,921.9,1508.3,1903.9,2303,2906,3128,3929,4156,4969,6029,8690,10451,18016,22866
43,241.65,518.49,799.4,826.5,1352.7,1708.7,2068,2615,2817,3544,3750,4494,5464,7906,9524,16405,20817,271.86,582.81,899.2,929.7,1521.0,1920.0,2322,2931,3154,3962,4191,5011,6079,8762,10537,18163,23052
44,243.44,522.30,805.2,832.5,1362.7,1721.3,2083,2634,2838,3570,3778,4527,5504,7964,9594,16525,20968,274.20,587.79,906.8,937.6,1534.0,1936.2,2342,2955,3181,3995,4226,5053,6130,8835,10625,18313,23241
45,245.26,526.17,811.2,838.7,1372.8,1734.0,2098,2654,2859,3597,3806,4561,5544,8022,9665,16645,21120,276.58,592.86,914.6,945.7,1547.1,1952.8,2362,2980,3208,4029,4262,5096,6182,8909,10715,18465,23434
46,247.15,530.17,817.4,845.1,1383.2,1747.3,2114,2674,2880,3624,3835,4595,5586,8083,9738,16770,21278,279.05,598.11,922.7,954.0,1560.7,1969.9,2383,3007,3236,4065,4299,5140,6236,8986,10807,18622,23633
47,249.06,534.24,823.5,851.5,1393.8,1760.7,2131,2694,2903,3652,3864,4630,5629,8145,9812,16897,21438,281.56,603.46,930.9,962.5,1574.6,1987.4,2404,3033,3264,4100,4337,5185,6291,9065,10901,18783,23836
48,251.01,538.37,829.9,858.1,1404.6,1774.3,2147,2715,2925,3680,3894,4666,5672,8207,9887,17026,21601,284.12,608.90,939.2,971.1,1588.7,2005.1,2425,3060,3293,4137,4376,5231,6346,9144,10997,18946,24043
49,252.98,542.56,836.4,864.8,1415.6,1788.1,2164,2736,2948,3708,3924,4702,5716,8271,9964,17156,21766,286.72,614.44,947.7,979.9,1603.0,2023.2,2447,3088,3323,4174,4415,5278,6403,9226,11094,19112,24252
50,254.99,546.82,843.0,871.6,1426.7,1802.2,2181,2758,2971,3737,3955,4739,5761,8335,10042,17289,21935,289.38,620.08,956.4,988.9,1617.6,2041.6,2469,3116,3353,4212,4455,5326,6461,9308,11193,19280,24465
51,257.09,551.29,849.8,878.7,1438.3,1816.9,2199,2780,2995,3768,3987,4778,5808,8403,10123,17428,22111,292.15,625.98,965.5,998.3,1632.9,2060.9,2492,3145,3384,4251,4497,5376,6521,9395,11297,19457,24689
52,259.23,555.82,856.8,885.9,1450.2,1831.9,2217,2803,3020,3799,4020,4817,5855,8471,10206,17569,22289,294.99,632.00,974.7,1007.8,1648.5,2080.5,2516,3175,3417,4292,4539,5427,6583,9483,11403,19637,24916
53,261.04,560.44,863.9,893.2,1462.2,1847.1,2235,2827,3045,3830,4053,4857,5904,8541,10290,17712,22471,297.87,638.14,984.1,1017.5,1664.4,2100.5,2540,3205,3449,4333,4583,5478,6645,9573,11510,19820,25148
